AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,00-0000,All Occupations,total,"6,840",0.1,,,100.00,100,43.26,"89,980",1.4,22.28,29.43,46.00,52.64,62.86,"46,330","61,210","95,680","109,490","130,750",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-0000,Management Occupations,major,330,7.9,,,4.82,25,68.71,"142,920",2.8,38.78,50.67,61.17,78.04,97.00,"80,670","105,400","127,240","162,330","201,770",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-1000,Top Executives,minor,150,13.3,,,2.16,19,70.99,"147,660",4.6,38.04,46.99,60.95,80.55,#,"79,120","97,740","126,780","167,550",#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-1020,General and Operations Managers,broad,140,11.2,,,2.03,18,65.37,"135,970",4.2,37.38,46.61,60.58,77.84,99.41,"77,750","96,940","126,000","161,910","206,780",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-1021,General and Operations Managers,detailed,140,11.2,,,2.03,18,65.37,"135,970",4.2,37.38,46.61,60.58,77.84,99.41,"77,750","96,940","126,000","161,910","206,780",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3000,Operations Specialties Managers,minor,110,7.1,,,1.61,11,70.60,"146,850",1.8,49.32,60.43,63.71,78.70,91.43,"102,580","125,690","132,510","163,690","190,180",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3050,Industrial Production Managers,broad,50,10.9,,,0.69,6,69.71,"144,990",1.8,57.45,60.61,72.46,78.00,80.55,"119,490","126,080","150,720","162,230","167,550",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3051,Industrial Production Managers,detailed,50,10.9,,,0.69,6,69.71,"144,990",1.8,57.45,60.61,72.46,78.00,80.55,"119,490","126,080","150,720","162,230","167,550",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-9000,Other Management Occupations,minor,50,15.8,,,0.69,5,62.29,"129,570",7.0,47.59,57.41,61.44,72.46,80.73,"98,980","119,410","127,800","150,720","167,920",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-0000,Business and Financial Operations Occupations,major,440,5.1,,,6.45,22,49.28,"102,500",2.2,28.78,36.94,47.76,59.45,74.05,"59,870","76,840","99,340","123,650","154,030",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1000,Business Operations Specialists,minor,360,5.5,,,5.27,19,46.65,"97,030",1.5,27.52,36.09,46.67,58.84,66.55,"57,240","75,070","97,070","122,390","138,420",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1040,Compliance Officers,broad,70,14.4,,,1.06,6,45.27,"94,170",5.1,29.02,38.31,48.12,49.36,58.84,"60,360","79,680","100,090","102,660","122,390",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1041,Compliance Officers,detailed,70,14.4,,,1.06,6,45.27,"94,170",5.1,29.02,38.31,48.12,49.36,58.84,"60,360","79,680","100,090","102,660","122,390",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1050,Cost Estimators,broad,50,5.5,,,0.69,3,36.54,"76,010",1.9,23.31,23.31,23.31,41.76,63.05,"48,490","48,490","48,490","86,860","131,140",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1051,Cost Estimators,detailed,50,5.5,,,0.69,3,36.54,"76,010",1.9,23.31,23.31,23.31,41.76,63.05,"48,490","48,490","48,490","86,860","131,140",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1080,Logisticians and Project Management Specialists,broad,60,34.3,,,0.83,6,52.44,"109,080",7.1,30.77,39.29,48.71,59.47,75.03,"64,000","81,710","101,320","123,690","156,070",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1082,Project Management Specialists,detailed,**,**,,,**,**,52.71,"109,650",9.2,29.34,38.62,48.37,66.50,75.03,"61,040","80,330","100,610","138,330","156,070",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1110,Management Analysts,broad,40,4.8,,,0.53,2,51.14,"106,370",2.3,35.23,39.29,47.07,63.23,75.03,"73,280","81,710","97,910","131,520","156,070",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1111,Management Analysts,detailed,40,4.8,,,0.53,2,51.14,"106,370",2.3,35.23,39.29,47.07,63.23,75.03,"73,280","81,710","97,910","131,520","156,070",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1190,Miscellaneous Business Operations Specialists,broad,110,9.2,,,1.54,6,49.51,"102,990",3.3,30.52,37.90,48.92,62.43,74.05,"63,490","78,830","101,760","129,850","154,030",,
