OCC_CODE,Occupation title (click on the occupation title to view an occupational profile),Level,Employment,Employment RSE,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
00-0000,All Occupations,total,"36,740",0.00%,100.00%,$30.00,$34.78,"$72,330",1.00%
11-2000,Management Occupations,major,"1,870",7.60%,5.09%,$63.17,$78.80,"$163,900",2.60%
11-1000,Top Executives,minor,750,14.30%,2.04%,$76.95,$90.10,"$187,400",5.10%
11-1011,Chief Executives,detail,100,15.10%,0.27%,-5,-5,-5,0.50%
11-1021,General and Operations Managers,detail,650,15.70%,1.78%,$63.76,$76.72,"$159,570",4.60%
11-3000,Operations Specialties Managers,minor,630,9.50%,1.72%,$63.01,$73.19,"$152,230",2.50%
11-3010,Administrative Services and Facilities Managers,broad,260,11.00%,0.72%,$60.62,$63.01,"$131,060",0.20%
11-3012,Administrative Services Managers,detail,40,10.60%,0.10%,$54.66,$53.40,"$111,060",0.60%
11-3013,Facilities Managers,detail,230,12.10%,0.62%,$63.09,$64.49,"$134,140",0.30%
11-3031,Financial Managers,detail,90,19.40%,0.25%,-8,-8,-8,-8
11-3051,Industrial Production Managers,detail,150,8.10%,0.40%,$60.61,$59.77,"$124,330",2.70%
11-3121,Human Resources Managers,detail,110,11.80%,0.29%,$78.28,$70.22,"$146,060",1.00%
11-9000,Other Management Occupations,minor,490,5.80%,1.33%,$62.45,$68.68,"$142,850",1.90%
11-9021,Construction Managers,detail,110,4.70%,0.29%,$59.79,$60.80,"$126,470",1.10%
11-9041,Architectural and Engineering Managers,detail,150,9.90%,0.42%,$99.73,$87.32,"$181,620",2.70%
11-9199,"Managers, All Other",detail,220,10.10%,0.59%,$60.42,$60.49,"$125,820",1.50%
13-0000,Business and Financial Operations Occupations,major,590,12.70%,1.60%,$38.44,$43.32,"$90,110",2.00%
13-1000,Business Operations Specialists,minor,360,18.10%,0.99%,$39.13,$41.94,"$87,240",2.00%
13-1020,Buyers and Purchasing Agents,broad,100,33.60%,0.28%,$36.74,$37.15,"$77,280",3.20%
13-1041,Compliance Officers,detail,130,26.90%,0.35%,$47.62,$45.80,"$95,260",2.10%
13-1070,Human Resources Workers,broad,60,9.00%,0.17%,$36.40,$36.91,"$76,760",1.20%
13-1071,Human Resources Specialists,detail,60,9.00%,0.17%,$36.40,$36.91,"$76,760",1.20%
13-1080,Logisticians and Project Management Specialists,broad,-8,-8,-8,$48.68,$50.69,"$105,430",2.40%
13-1199,"Business Operations Specialists, All Other",detail,30,20.00%,0.09%,$38.72,$42.27,"$87,930",2.60%
13-2000,Financial Specialists,minor,220,13.10%,0.61%,$38.09,$45.56,"$94,760",3.50%
13-2011,Accountants and Auditors,detail,220,13.10%,0.61%,$38.09,$45.56,"$94,760",3.50%
15-0000,Computer and Mathematical Occupations,major,60,31.20%,0.17%,$37.66,$40.97,"$85,210",2.80%
15-1200,Computer Occupations,minor,60,31.20%,0.17%,$37.66,$40.97,"$85,210",2.80%
15-1240,Database and Network Administrators and Architects,broad,-8,-8,-8,$38.03,$42.38,"$88,150",5.80%
17-0000,Architecture and Engineering Occupations,major,880,5.60%,2.38%,$46.68,$44.14,"$91,800",1.00%
17-1000,"Architects, Surveyors, and Cartographers",minor,80,8.80%,0.21%,$29.80,$33.20,"$69,060",2.10%
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,80,8.80%,0.21%,$29.80,$33.20,"$69,060",2.10%
17-1022,Surveyors,detail,80,8.80%,0.21%,$29.80,$33.20,"$69,060",2.10%
17-2000,Engineers,minor,710,6.80%,1.94%,$47.52,$46.81,"$97,360",1.30%
17-2070,Electrical and Electronics Engineers,broad,40,41.20%,0.11%,$56.00,$53.57,"$111,430",7.90%
17-2071,Electrical Engineers,detail,40,41.20%,0.11%,$56.00,$53.57,"$111,430",7.90%
17-2081,Environmental Engineers,detail,50,4.60%,0.13%,$45.73,$44.42,"$92,400",0.90%
17-2110,"Industrial Engineers, Including Health and Safety",broad,40,29.50%,0.12%,$46.68,$43.74,"$90,980",6.60%
17-2141,Mechanical Engineers,detail,60,31.50%,0.16%,$48.03,$48.76,"$101,430",1.90%
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detail,520,7.70%,1.41%,$47.52,$46.49,"$96,700",1.60%
