comp-1,comp-2
-20.073723,5.1524463
-17.300924,5.162701
-20.161026,0.22659467
-20.431871,1.1337794
-20.280434,2.4462311
-16.614634,4.520146
-10.633052,-6.7797036
-24.166143,-1.3583645
10.471393,-12.205873
-19.750954,3.736022
-18.291388,4.762096
-25.552496,-1.3961096
-21.770071,5.519142
-21.142147,6.6290545
11.621834,-15.1368475
6.209359,-19.29813
-17.127993,7.8709817
-18.932547,7.716308
-2.4339888,-17.408682
1.2162548,17.063675
-15.880282,6.2789946
-17.286596,6.9577813
-19.393545,7.0472116
-1.5235293,-9.496356
-18.823494,3.2249646
-19.360792,10.821923
-18.739397,5.661926
-21.386192,-0.8815164
-21.81651,-6.047132
-4.9058695,0.39065716
-4.444962,0.7057802
-2.584021,-16.107029
-23.728857,0.05637918
-22.003109,4.5552278
-18.900515,4.292895
-21.169779,3.803828
-15.716439,4.6706676
-20.895294,1.8519881
-26.376396,-2.4243832
-21.108654,6.9870005
-26.004435,0.7253606
-24.94488,-2.579092
-26.104399,-3.4317167
-26.596504,-4.448166
-23.629967,-2.4863074
-24.04193,-4.3242164
-25.535671,-2.86368
-24.028215,-5.4142847
-22.886856,-3.596631
-24.997911,-5.3011928
-12.568311,-10.5067215
-10.002438,-10.388731
-8.0714245,-12.26012
-9.106728,-9.369797
-9.024374,-9.067608
-8.008006,-11.648349
-10.397354,-10.612068
-11.777428,-11.059021
-9.333094,-9.8833475
-11.400753,-11.732889
-12.004272,-10.88749
-12.29163,-9.933454
-27.793003,-2.4750056
-30.096899,-2.6198769
-29.180328,-2.3036368
-29.561079,-2.7652025
-3.0362132,-18.526463
-3.0125694,-18.737076
-9.914254,-13.207799
8.557482,-16.561972
-2.7580616,-12.996295
2.7080517,-15.90984
-2.0313048,-11.205114
-0.037378766,-12.450216
-1.7538351,-17.039667
-7.006671,-12.121866
-2.833071,-13.219482
-4.6874013,-12.562358
1.9162006,-15.720846
5.618606,-17.705767
-1.065698,-13.536333
1.7142088,-13.845205
-0.5836968,-11.496796
-0.66427886,-13.810034
0.8645177,-15.026515
0.5447878,-12.590158
-0.9276165,-15.683861
-4.4976187,-14.985404
-4.506293,-14.494533
-3.6992238,-13.886863
5.29548,-8.457069
3.4140942,-13.753364
5.773083,-9.447176
7.152167,-8.925777
5.5556297,-13.775579
